Orthogroup,Pfam_ID,Pfam_NAME,Specific_Pfam_Count,Pfam_Specific_Rate
OG0000011,PF04321.20,RmlD_sub_bind,6,0.005244755244755245
OG0000011,PF00571.31,CBS,3,0.0026223776223776225
OG0000011,PF00266.22,Aminotran_5,1,8.741258741258741e-4
OG0000011,PF00551.22,Formyl_trans_N,1,8.741258741258741e-4
OG0000011,PF00583.28,Acetyltransf_1,1,8.741258741258741e-4
OG0000011,PF00908.20,dTDP_sugar_isom,1,8.741258741258741e-4
OG0000011,PF18216.4,N_formyltrans_C,1,8.741258741258741e-4
OG0000012,PF02826.22,2-Hacid_dh_C,1104,0.4932975871313673
OG0000012,PF00389.33,2-Hacid_dh,1089,0.4865951742627346
OG0000012,PF01842.28,ACT,22,0.009830205540661306
OG0000012,PF19304.2,PGDH_inter,22,0.009830205540661306
OG0000012,PF02348.22,CTP_transf_3,1,4.4682752457551384e-4
OG0000013,PF01571.24,GCV_T,1098,0.25252989880404786
OG0000013,PF08669.14,GCV_T_C,1097,0.25229990800367985
OG0000013,PF16350.8,FAO_M,1078,0.24793008279668813
OG0000013,PF01266.27,DAO,1075,0.2472401103955842
OG0000014,PF00155.24,Aminotran_1_2,1071,1
OG0000015,PF00483.26,NTP_transferase,963,0.8195744680851064
OG0000015,PF08645.14,PNK3P,75,0.06382978723404255
OG0000015,PF00571.31,CBS,72,0.06127659574468085
OG0000015,PF13242.9,Hydrolase_like,30,0.02553191489361702
OG0000015,PF12804.10,NTP_transf_3,17,0.01446808510638298
OG0000015,PF13419.9,HAD_2,16,0.013617021276595745
OG0000015,PF02894.20,GFO_IDH_MocA_C,1,8.51063829787234e-4
OG0000015,PF20202.1,DUF6564,1,8.51063829787234e-4
OG0000016,PF00501.31,AMP-binding,1034,0.33835078534031415
OG0000016,PF13193.9,AMP-binding_C,1033,0.3380235602094241
OG0000016,PF16177.8,ACAS_N,989,0.32362565445026176
OG0000017,PF01425.24,Amidase,1012,1
OG0000018,PF00216.24,Bac_DNA_binding,1012,1
OG0000019,PF00005.30,ABC_tran,975,1
OG0000020,PF00005.30,ABC_tran,956,0.592684438933664
OG0000020,PF12399.11,BCA_ABC_TP_C,657,0.40731556106633604
OG0000021,PF07045.14,DUF1330,962,1
OG0000022,PF14833.9,NAD_binding_11,957,0.5005230125523012
OG0000022,PF03446.18,NAD_binding_2,954,0.4989539748953975
OG0000022,PF12766.10,Pyridox_oxase_2,1,5.230125523012552e-4
OG0000023,PF00528.25,BPD_transp_1,1417,0.9833448993754337
OG0000023,PF10947.11,DUF2628,24,0.016655100624566273
OG0000024,PF02353.23,CMAS,921,0.9860813704496788
OG0000024,PF13489.9,Methyltransf_23,4,0.004282655246252677
OG0000024,PF13649.9,Methyltransf_25,4,0.004282655246252677
OG0000024,PF13847.9,Methyltransf_31,3,0.0032119914346895075
OG0000024,PF08241.15,Methyltransf_11,1,0.0010706638115631692
OG0000024,PF08242.15,Methyltransf_12,1,0.0010706638115631692
OG0000025,PF00561.23,Abhydrolase_1,495,0.5351351351351351
OG0000025,PF12697.10,Abhydrolase_6,339,0.36648648648648646
OG0000025,PF12146.11,Hydrolase_4,74,0.08
OG0000025,PF03096.17,Ndr,17,0.018378378378378378
OG0000026,PF00815.23,Histidinol_dh,919,1
OG0000027,PF07963.15,N_methyl,893,0.9889258028792912
OG0000027,PF16732.8,ComP_DUS,10,0.01107419712070875
OG0000028,PF01070.21,FMN_dh,894,1
OG0000029,PF00171.25,Aldedh,894,1
OG0000030,PF00117.31,GATase,885,0.9966216216216216
OG0000030,PF07722.16,Peptidase_C26,3,0.0033783783783783786
OG0000031,PF01625.24,PMSR,875,1
OG0000032,PF00005.30,ABC_tran,842,0.5446313065976714
OG0000032,PF00664.26,ABC_membrane,703,0.45472186287192756
OG0000032,PF00027.32,cNMP_binding,1,6.46830530401035e-4
OG0000033,PF00005.30,ABC_tran,843,0.9929328621908127
OG0000033,PF00571.31,CBS,6,0.007067137809187279
OG0000034,PF04290.15,DctQ,843,1
OG0000035,PF01571.24,GCV_T,821,0.21078305519897303
OG0000035,PF17806.4,SO_alpha_A3,810,0.2079589216944801
OG0000035,PF13510.9,Fer2_4,784,0.2012836970474968
OG0000035,PF08669.14,GCV_T_C,692,0.17766367137355585
OG0000035,PF07992.17,Pyr_redox_2,517,0.13273427471116817
OG0000035,PF12831.10,FAD_oxidored,227,0.0582798459563543
OG0000035,PF13738.9,Pyr_redox_3,41,0.010526315789473684
OG0000035,PF13450.9,NAD_binding_8,2,5.134788189987163e-4
OG0000035,PF00890.27,FAD_binding_2,1,2.5673940949935817e-4
OG0000036,PF01266.27,DAO,816,1
OG0000037,PF00892.23,EamA,1610,1
OG0000038,PF00313.25,CSD,807,1
OG0000039,PF00984.22,UDPG_MGDP_dh,785,0.34189895470383275
OG0000039,PF03721.17,UDPG_MGDP_dh_N,777,0.3384146341463415
OG0000039,PF03720.18,UDPG_MGDP_dh_C,733,0.3192508710801394
OG0000039,PF00106.28,adh_short,1,4.3554006968641115e-4
OG0000040,PF00909.24,Ammonium_transp,793,0.8200620475698035
OG0000040,PF07228.15,SpoIIE,174,0.17993795243019647
OG0000041,PF00483.26,NTP_transferase,785,0.9924146649810367
OG0000041,PF00571.31,CBS,5,0.006321112515802781
OG0000041,PF12804.10,NTP_transf_3,1,0.0012642225031605564
OG0000042,PF02668.19,TauD,757,0.6964121435142594
OG0000042,PF06155.15,GBBH-like_N,330,0.30358785648574055
OG0000043,PF08241.15,Methyltransf_11,421,0.566621803499327
OG0000043,PF13489.9,Methyltransf_23,264,0.3553162853297443
OG0000043,PF13847.9,Methyltransf_31,29,0.039030955585464336
OG0000043,PF13649.9,Methyltransf_25,20,0.026917900403768506
OG0000043,PF08242.15,Methyltransf_12,5,0.006729475100942127
OG0000043,PF08484.14,Methyltransf_14,4,0.005383580080753701
OG0000044,PF01641.21,SelR,736,1
OG0000045,PF00893.22,Multi_Drug_Res,733,1
OG0000046,PF00171.25,Aldedh,713,0.9985994397759104
OG0000046,PF00160.24,Pro_isomerase,1,0.0014005602240896359
OG0000047,PF02775.24,TPP_enzyme_C,682,0.33728981206726016
OG0000047,PF00205.25,TPP_enzyme_M,671,0.33184965380811077
OG0000047,PF02776.21,TPP_enzyme_N,669,0.33086053412462907
OG0000048,PF00478.28,IMPDH,688,0.8621553884711779
OG0000048,PF00571.31,CBS,74,0.09273182957393483
OG0000048,PF01070.21,FMN_dh,20,0.02506265664160401
OG0000048,PF03060.18,NMO,15,0.018796992481203006
OG0000048,PF01645.20,Glu_synthase,1,0.0012531328320802004
OG0000049,PF10589.12,NADH_4Fe-4S,675,0.33515392254220455
OG0000049,PF01512.20,Complex1_51K,671,0.33316782522343596
OG0000049,PF10531.12,SLBB,488,0.2423038728897716
OG0000049,PF01257.22,2Fe-2S_thioredx,180,0.08937437934458789
OG0000050,PF05199.16,GMC_oxred_C,672,0.5052631578947369
OG0000050,PF00732.22,GMC_oxred_N,658,0.49473684210526314
OG0000051,PF03102.17,NeuB,661,0.6972573839662447
OG0000051,PF08666.15,SAF,259,0.2732067510548523
OG0000051,PF07883.14,Cupin_2,9,0.00949367088607595
OG0000051,PF13450.9,NAD_binding_8,6,0.006329113924050633
OG0000051,PF01261.27,AP_endonuc_2,4,0.004219409282700422
OG0000051,PF02348.22,CTP_transf_3,4,0.004219409282700422
OG0000051,PF01593.27,Amino_oxidase,3,0.0031645569620253164
OG0000051,PF13412.9,HTH_24,2,0.002109704641350211
OG0000052,PF13759.9,2OG-FeII_Oxy_5,661,0.9635568513119533
OG0000052,PF00515.31,TPR_1,10,0.014577259475218658
OG0000052,PF13414.9,TPR_11,7,0.01020408163265306
OG0000052,PF13424.9,TPR_12,7,0.01020408163265306
OG0000052,PF13181.9,TPR_8,1,0.0014577259475218659
OG0000053,PF00977.24,His_biosynth,672,1
OG0000054,PF00528.25,BPD_transp_1,662,1
OG0000055,PF05118.18,Asp_Arg_Hydrox,659,1
OG0000056,PF07995.14,GSDH,659,1
OG0000057,PF00117.31,GATase,655,1
OG0000058,PF00456.24,Transketolase_N,636,0.3945409429280397
OG0000058,PF02779.27,Transket_pyr,497,0.30831265508684863
OG0000058,PF02780.23,Transketolase_C,472,0.29280397022332505
OG0000058,PF00044.27,Gp_dh_N,2,0.0012406947890818859
OG0000058,PF02800.23,Gp_dh_C,2,0.0012406947890818859
OG0000058,PF01812.23,5-FTHF_cyc-lig,1,6.203473945409429e-4
OG0000058,PF04383.16,KilA-N,1,6.203473945409429e-4
OG0000058,PF13292.9,DXP_synthase_N,1,6.203473945409429e-4
OG0000059,PF00378.23,ECH_1,649,1
OG0000060,PF00107.29,ADH_zinc_N,618,0.48130841121495327
OG0000060,PF08240.15,ADH_N,551,0.42912772585669784
OG0000060,PF16884.8,ADH_N_2,87,0.06775700934579439
OG0000060,PF13602.9,ADH_zinc_N_2,28,0.021806853582554516
OG0000061,PF00557.27,Peptidase_M24,640,0.5035405192761605
OG0000061,PF01321.21,Creatinase_N,631,0.4964594807238395
OG0000062,PF00920.24,ILVD_EDD,646,1
OG0000063,PF00551.22,Formyl_trans_N,631,0.9362017804154302
OG0000063,PF02911.21,Formyl_trans_C,35,0.05192878338278932
OG0000063,PF18216.4,N_formyltrans_C,5,0.00741839762611276
OG0000063,PF00483.26,NTP_transferase,1,0.001483679525222552
OG0000063,PF03754.16,At2g31720-like,1,0.001483679525222552
OG0000063,PF13302.10,Acetyltransf_3,1,0.001483679525222552
OG0000064,PF01970.19,TctA,630,1
OG0000065,PF00248.24,Aldo_ket_red,629,1
OG0000066,PF02779.27,Transket_pyr,623,0.3669022379269729
OG0000066,PF02780.23,Transketolase_C,593,0.3492343934040047
OG0000066,PF13292.9,DXP_synthase_N,482,0.2838633686690224
OG0000067,PF02348.22,CTP_transf_3,625,1
OG0000068,PF13365.9,Trypsin_2,617,0.36530491415038485
OG0000068,PF13180.9,PDZ_2,516,0.30550621669627
OG0000068,PF02163.25,Peptidase_M50,486,0.2877442273534636
OG0000068,PF02493.23,MORN,23,0.013617525162818236
OG0000068,PF17820.4,PDZ_6,21,0.012433392539964476
OG0000068,PF13181.9,TPR_8,12,0.007104795737122558
OG0000068,PF00595.27,PDZ,11,0.006512729425695678
OG0000068,PF00089.29,Trypsin,1,5.920663114268798e-4
OG0000068,PF13176.9,TPR_7,1,5.920663114268798e-4
OG0000068,PF13431.9,TPR_17,1,5.920663114268798e-4
OG0000069,PF00501.31,AMP-binding,610,0.5074875207986689
OG0000069,PF13193.9,AMP-binding_C,592,0.4925124792013311
OG0000070,PF00581.23,Rhodanese,605,1
OG0000071,PF00465.22,Fe-ADH,601,1
OG0000072,PF00685.30,Sulfotransfer_1,598,0.9966666666666667
OG0000072,PF00583.28,Acetyltransf_1,1,0.0016666666666666668
OG0000072,PF13469.9,Sulfotransfer_3,1,0.0016666666666666668
OG0000073,PF01323.23,DSBA,600,1
OG0000074,PF01063.22,Aminotran_4,600,1
OG0000075,PF01209.21,Ubie_methyltran,506,0.856175972927242
OG0000075,PF08241.15,Methyltransf_11,45,0.07614213197969544
OG0000075,PF13649.9,Methyltransf_25,21,0.03553299492385787
OG0000075,PF13489.9,Methyltransf_23,17,0.028764805414551606
OG0000075,PF13847.9,Methyltransf_31,2,0.00338409475465313
OG0000076,PF00549.22,Ligase_CoA,586,0.5038693035253654
OG0000076,PF08442.13,ATP-grasp_2,577,0.4961306964746346
OG0000077,PF01810.21,LysE,582,1
OG0000078,PF00549.22,Ligase_CoA,583,0.5004291845493563
OG0000078,PF02629.22,CoA_binding,582,0.4995708154506438
OG0000079,PF01925.22,TauE,580,1
OG0000080,PF01053.23,Cys_Met_Meta_PP,569,0.9930191972076788
OG0000080,PF00571.31,CBS,2,0.0034904013961605585
OG0000080,PF00380.22,Ribosomal_S9,1,0.0017452006980802793
OG0000080,PF00478.28,IMPDH,1,0.0017452006980802793
OG0000081,PF00534.23,Glycos_transf_1,558,0.5161887141535615
OG0000081,PF13439.9,Glyco_transf_4,504,0.4662349676225717
OG0000081,PF13477.9,Glyco_trans_4_2,19,0.01757631822386679
OG0000082,PF00551.22,Formyl_trans_N,554,0.5082568807339449
OG0000082,PF02911.21,Formyl_trans_C,536,0.4917431192660551
OG0000083,PF13714.9,PEP_mutase,556,1
OG0000084,PF02653.19,BPD_transp_2,559,0.9394957983193277
OG0000084,PF11862.11,DUF3382,36,0.06050420168067227
OG0000085,PF00108.26,Thiolase_N,563,0.5031277926720286
OG0000085,PF02803.21,Thiolase_C,556,0.4968722073279714
OG0000086,PF00986.24,DNA_gyraseB_C,550,0.25264124942581534
OG0000086,PF01751.25,Toprim,549,0.2521819016995866
OG0000086,PF00204.28,DNA_gyraseB,544,0.2498851630684428
OG0000086,PF02518.29,HATPase_c,534,0.24529168580615526
OG0000087,PF01075.20,Glyco_transf_9,544,1
OG0000088,PF02653.19,BPD_transp_2,553,0.9981949458483754
OG0000088,PF07681.15,DoxX,1,0.0018050541516245488
OG0000089,PF04724.16,Glyco_transf_17,535,1
OG0000090,PF00266.22,Aminotran_5,562,0.9964539007092199
OG0000090,PF01458.20,SUFBD,2,0.0035460992907801418
OG0000091,PF00890.27,FAD_binding_2,547,0.5
OG0000091,PF02910.23,Succ_DH_flav_C,547,0.5
OG0000092,PF00202.24,Aminotran_3,547,1
OG0000093,PF01061.27,ABC2_membrane,548,1
OG0000094,PF01926.26,MMR_HSR1,543,0.34258675078864353
OG0000094,PF12631.10,MnmE_helical,500,0.31545741324921134
OG0000094,PF10396.12,TrmE_N,497,0.3135646687697161
OG0000094,PF07650.20,KH_2,44,0.0277602523659306
OG0000094,PF04280.18,Tim44,1,6.309148264984228e-4
OG0000095,PF02545.17,Maf,546,1
OG0000096,PF02785.22,Biotin_carb_C,543,0.3267148014440433
OG0000096,PF02786.20,CPSase_L_D2,543,0.3267148014440433
OG0000096,PF00289.25,Biotin_carb_N,541,0.32551143200962696
OG0000096,PF00364.25,Biotin_lipoyl,23,0.013838748495788207
OG0000096,PF02682.19,CT_C_D,12,0.007220216606498195
OG0000097,PF00005.30,ABC_tran,543,0.9963302752293578
OG0000097,PF00664.26,ABC_membrane,1,0.001834862385321101
OG0000097,PF13732.9,DUF4162,1,0.001834862385321101
OG0000098,PF03797.22,Autotransporter,516,0.6285018270401949
OG0000098,PF13205.9,Big_5,210,0.2557856272838002
OG0000098,PF13385.9,Laminin_G_3,25,0.030450669914738125
OG0000098,PF10282.12,Lactonase,22,0.02679658952496955
OG0000098,PF00754.28,F5_F8_type_C,16,0.0194884287454324
OG0000098,PF00059.24,Lectin_C,13,0.015834348355663823
OG0000098,PF03382.17,DUF285,10,0.012180267965895249
OG0000098,PF19078.3,Big_12,5,0.0060901339829476245
OG0000098,PF07676.15,PD40,2,0.00243605359317905
OG0000098,PF12810.10,Gly_rich,2,0.00243605359317905
OG0000099,PF00012.23,HSP70,541,1
OG0000100,PF02574.19,S-methyl_trans,561,1
OG0000101,PF00873.22,ACR_tran,541,1
OG0000102,PF07021.15,MetW,508,0.9459962756052142
OG0000102,PF13489.9,Methyltransf_23,15,0.027932960893854747
OG0000102,PF13847.9,Methyltransf_31,7,0.01303538175046555
OG0000102,PF08241.15,Methyltransf_11,6,0.0111731843575419
OG0000102,PF13649.9,Methyltransf_25,1,0.00186219739292365
OG0000103,PF03989.16,DNA_gyraseA_C,2985,0.8506697064690795
OG0000103,PF00521.23,DNA_topoisoIV,524,0.14933029353092048
OG0000104,PF08245.15,Mur_ligase_M,937,0.40527681660899656
OG0000104,PF02875.24,Mur_ligase_C,821,0.3551038062283737
OG0000104,PF01225.28,Mur_ligase,554,0.23961937716262977
OG0000105,PF13717.9,zinc_ribbon_4,440,0.9977324263038548
OG0000105,PF19769.2,CPxCG_zf,1,0.0022675736961451248
OG0000106,PF04545.19,Sigma70_r4,535,0.34033078880407125
OG0000106,PF04542.17,Sigma70_r2,534,0.33969465648854963
OG0000106,PF00140.23,Sigma70_r1_2,503,0.3199745547073791
OG0000107,PF00155.24,Aminotran_1_2,531,0.9943820224719101
OG0000107,PF02153.20,PDH_N,1,0.0018726591760299626
OG0000107,PF16123.8,HAGH_C,1,0.0018726591760299626
OG0000107,PF20463.1,PDH_C,1,0.0018726591760299626
OG0000108,PF00109.29,ketoacyl-synt,534,0.5004686035613871
OG0000108,PF02801.25,Ketoacyl-synt_C,533,0.49953139643861294
OG0000109,PF00132.27,Hexapep,870,0.663109756097561
OG0000109,PF14602.9,Hexapep_2,407,0.31021341463414637
OG0000109,PF12804.10,NTP_transf_3,31,0.023628048780487805
OG0000109,PF00551.22,Formyl_trans_N,2,0.001524390243902439
OG0000109,PF00483.26,NTP_transferase,1,7.621951219512195e-4
OG0000109,PF17836.4,PglD_N,1,7.621951219512195e-4
OG0000110,PF00534.23,Glycos_transf_1,533,0.538928210313448
OG0000110,PF13439.9,Glyco_transf_4,454,0.4590495449949444
OG0000110,PF13477.9,Glyco_trans_4_2,2,0.0020222446916076846
OG0000111,PF01555.21,N6_N4_Mtase,530,0.5150631681243926
OG0000111,PF18755.4,RAMA,497,0.48299319727891155
OG0000111,PF01844.26,HNH,1,9.718172983479105e-4
OG0000111,PF04471.15,Mrr_cat,1,9.718172983479105e-4
OG0000112,PF00115.23,COX1,532,1
OG0000113,PF16363.8,GDP_Man_Dehyd,523,0.9867924528301887
OG0000113,PF01370.24,Epimerase,6,0.011320754716981131
OG0000113,PF05721.16,PhyH,1,0.0018867924528301887
OG0000114,PF08501.14,Shikimate_dh_N,525,0.448334756618275
OG0000114,PF01488.23,Shikimate_DH,500,0.4269854824935952
OG0000114,PF18317.4,SDH_C,146,0.1246797608881298
OG0000115,PF08534.13,Redoxin,526,1
OG0000116,PF07977.16,FabA,526,1
OG0000117,PF00355.29,Rieske,526,0.5033492822966508
OG0000117,PF10399.12,UCR_Fe-S_N,519,0.4966507177033493
OG0000118,PF00285.24,Citrate_synt,527,1
OG0000119,PF00156.30,Pribosyltran,527,1
OG0000120,PF01066.24,CDP-OH_P_transf,525,1
OG0000121,PF01370.24,Epimerase,332,0.6459143968871596
OG0000121,PF13460.9,NAD_binding_10,112,0.2178988326848249
OG0000121,PF05368.16,NmrA,35,0.06809338521400778
OG0000121,PF04321.20,RmlD_sub_bind,30,0.058365758754863814
OG0000121,PF03435.21,Sacchrp_dh_NADP,3,0.005836575875486381
OG0000121,PF00106.28,adh_short,1,0.0019455252918287938
OG0000121,PF01073.22,3Beta_HSD,1,0.0019455252918287938
OG0000122,PF00202.24,Aminotran_3,522,1
OG0000123,PF00364.25,Biotin_lipoyl,525,1
OG0000124,PF00510.21,COX3,524,1
OG0000125,PF09851.12,SHOCT,1,0.5
OG0000125,PF13103.9,TonB_2,1,0.5
OG0000126,PF00691.23,OmpA,525,1
OG0000127,PF00793.23,DAHP_synth_1,525,1
OG0000128,PF04055.24,Radical_SAM,518,0.349763673193788
OG0000128,PF00919.23,UPF0004,515,0.3477380148548278
OG0000128,PF01938.23,TRAM,447,0.30182309250506417
OG0000128,PF01475.22,FUR,1,6.752194463200541e-4
OG0000129,PF02882.22,THF_DHG_CYH_C,523,0.5024015369836695
OG0000129,PF00763.26,THF_DHG_CYH,518,0.49759846301633043
OG0000130,PF00085.23,Thioredoxin,521,0.9980842911877394
OG0000130,PF18406.4,DUF1281_C,1,0.0019157088122605363
OG0000131,PF00929.27,RNase_T,521,1
OG0000132,PF01327.24,Pep_deformylase,522,1
OG0000133,PF13368.9,Toprim_C_rpt,1528,0.5013123359580053
OG0000133,PF01131.23,Topoisom_bac,511,0.1676509186351706
OG0000133,PF01396.22,zf-C4_Topoisom,509,0.16699475065616798
OG0000133,PF01751.25,Toprim,499,0.16371391076115485
OG0000133,PF14588.9,YjgF_endoribonc,1,3.2808398950131233e-4
OG0000134,PF07516.16,SecA_SW,512,0.23262153566560653
OG0000134,PF07517.17,SecA_DEAD,491,0.2230804179918219
OG0000134,PF01043.23,SecA_PP_bind,487,0.22126306224443434
OG0000134,PF02810.18,SEC-C,360,0.1635620172648796
OG0000134,PF00271.34,Helicase_C,351,0.15947296683325762
OG0000135,PF13662.9,Toprim_4,521,0.9524680073126143
OG0000135,PF02132.18,RecR,23,0.04204753199268738
OG0000135,PF13353.9,Fer4_12,3,0.005484460694698354
OG0000136,PF01416.23,PseudoU_synth_1,1009,1
OG0000137,PF00850.22,Hist_deacetyl,519,1
OG0000138,PF01546.31,Peptidase_M20,521,0.502895752895753
OG0000138,PF07687.17,M20_dimer,515,0.4971042471042471
OG0000139,PF06776.15,IalB,369,1
OG0000140,PF09335.14,SNARE_assoc,518,1
OG0000141,PF02786.20,CPSase_L_D2,1008,0.5004965243296922
OG0000141,PF02142.25,MGS,511,0.25372393247269115
OG0000141,PF02787.22,CPSase_L_D3,495,0.2457795431976167
OG0000142,PF08245.15,Mur_ligase_M,127,1
OG0000143,PF02575.19,YbaB_DNA_bd,520,1
OG0000144,PF09335.14,SNARE_assoc,241,1
OG0000145,PF13181.9,TPR_8,302,0.766497461928934
OG0000145,PF07719.20,TPR_2,40,0.10152284263959391
OG0000145,PF00515.31,TPR_1,19,0.048223350253807105
OG0000145,PF14559.9,TPR_19,14,0.03553299492385787
OG0000145,PF13424.9,TPR_12,6,0.015228426395939087
OG0000145,PF13429.9,TPR_15,5,0.012690355329949238
OG0000145,PF13432.9,TPR_16,4,0.01015228426395939
OG0000145,PF04212.21,MIT,1,0.0025380710659898475
OG0000145,PF12895.10,ANAPC3,1,0.0025380710659898475
OG0000145,PF13414.9,TPR_11,1,0.0025380710659898475
OG0000145,PF13431.9,TPR_17,1,0.0025380710659898475
OG0000146,PF00152.23,tRNA-synt_2,515,0.34083388484447386
OG0000146,PF02938.17,GAD,505,0.33421575115817337
OG0000146,PF01336.28,tRNA_anti-codon,491,0.3249503639973527
OG0000147,PF08411.13,Exonuc_X-T_C,491,0.7339312406576981
OG0000147,PF00929.27,RNase_T,178,0.26606875934230195
OG0000148,PF01709.23,Transcrip_reg,519,1
OG0000149,PF03109.19,ABC1,513,1
OG0000150,PF14602.9,Hexapep_2,519,0.5014492753623189
OG0000150,PF14805.9,THDPS_N_2,513,0.4956521739130435
OG0000150,PF00132.27,Hexapep,2,0.001932367149758454
OG0000150,PF00808.26,CBFD_NFYB_HMF,1,9.66183574879227e-4
OG0000151,PF00814.28,TsaD,512,1
OG0000152,PF00696.31,AA_kinase,517,1
OG0000153,PF00533.29,BRCT,511,0.2519723865877712
OG0000153,PF01653.21,DNA_ligase_aden,505,0.2490138067061144
OG0000153,PF03120.19,DNA_ligase_OB,504,0.2485207100591716
OG0000153,PF12826.10,HHH_2,500,0.2465483234714004
OG0000153,PF03119.19,DNA_ligase_ZBD,6,0.0029585798816568047
OG0000153,PF04715.16,Anth_synt_I_N,1,4.930966469428008e-4
OG0000153,PF14520.9,HHH_5,1,4.930966469428008e-4
OG0000154,PF06071.16,YchF-GTPase_C,511,0.503448275862069
OG0000154,PF01926.26,MMR_HSR1,504,0.496551724137931
OG0000155,PF00118.27,Cpn60_TCP1,517,1
OG0000156,PF00034.24,Cytochrom_C,517,1
OG0000157,PF13277.9,YmdB,518,1
OG0000158,PF01618.19,MotA_ExbB,516,1
OG0000159,PF00730.28,HhH-GPD,514,1
OG0000160,PF00180.23,Iso_dh,518,1
OG0000161,PF13419.9,HAD_2,514,0.9961240310077519
OG0000161,PF13242.9,Hydrolase_like,2,0.003875968992248062
OG0000162,PF09851.12,SHOCT,453,1
OG0000163,PF00117.31,GATase,514,0.5049115913555993
OG0000163,PF00988.25,CPSase_sm_chain,504,0.4950884086444008
OG0000164,PF00290.23,Trp_syntA,516,1
OG0000165,PF07676.15,PD40,1636,0.7616387337057728
OG0000165,PF04052.16,TolB_N,512,0.2383612662942272
OG0000166,PF00294.27,PfkB,516,1
OG0000167,PF02230.19,Abhydrolase_2,517,1
OG0000168,PF14279.9,HNH_5,456,0.8820116054158608
OG0000168,PF01844.26,HNH,61,0.11798839458413926
OG0000169,PF03232.16,COQ7,516,1
OG0000170,PF00501.31,AMP-binding,513,0.9679245283018868
OG0000170,PF13193.9,AMP-binding_C,17,0.03207547169811321
OG0000171,PF11775.11,CobT_C,517,0.5078585461689588
OG0000171,PF06213.15,CobT,500,0.4911591355599214
OG0000171,PF00202.24,Aminotran_3,1,9.823182711198428e-4
OG0000172,PF02348.22,CTP_transf_3,500,0.9633911368015414
OG0000172,PF00535.29,Glycos_transf_2,7,0.01348747591522158
OG0000172,PF02826.22,2-Hacid_dh_C,6,0.011560693641618497
OG0000172,PF00389.33,2-Hacid_dh,2,0.0038535645472061657
OG0000172,PF13847.9,Methyltransf_31,2,0.0038535645472061657
OG0000172,PF04101.19,Glyco_tran_28_C,1,0.0019267822736030828
OG0000172,PF13649.9,Methyltransf_25,1,0.0019267822736030828
OG0000173,PF01036.21,Bac_rhodopsin,516,1
OG0000174,PF00557.27,Peptidase_M24,507,0.25400801603206413
