OG_ID	cog_best	cog_best_name	cog_best_gene	cog_best_letter	cog_best_description	cog_support	n_genes	cog_rate
OG0000003	COG0697	Amino acid export permease, drug/metabolite transporter (DMT) superfamily	EamA	E	Amino acid transport and metabolism	1222	1224	0.9983660130718954
OG0000004	COG0665	Glycine/D-amino acid oxidase (deaminating)	DadA	E	Amino acid transport and metabolism	1177	1180	0.997457627118644
OG0000005	COG0362	6-phosphogluconate dehydrogenase	Gnd	G	Carbohydrate transport and metabolism	3	1174	0.002555366269165247
OG0000005	COG2084	3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	MmsB	I	Lipid transport and metabolism	1167	1174	0.9940374787052811
OG0000006	COG2165	Type II secretion system/type IV prepilin peptidase GspO/PulO/PilD	GspO/PilD	N	Cell motility	103	1150	0.08956521739130435
OG0000006	COG4537	Competence protein ComGC	ComGC	X	Mobilome: prophages, transposons	1	1150	8.695652173913044e-4
OG0000006	COG4538	Uncharacterized conserved protein, contains SnoaL-like domain	SnoaL	S	Function unknown	1	1150	8.695652173913044e-4
OG0000006	COG4968	Type IV pilus minor pilin/pseudopilin PilE	PilE	N	Cell motility	670	1150	0.5826086956521739
OG0000006	COG4969	Type IV pilus major pilin PilA	PilA	N	Cell motility	123	1150	0.10695652173913044
OG0000006	COG4970	Type IV pilus assembly protein FimT or FimU	FimT	N	Cell motility	191	1150	0.16608695652173913
OG0000007	COG0300	Short-chain dehydrogenase	YqjQ	R	General function prediction only	72	1138	0.0632688927943761
OG0000007	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	FabG	I	Lipid transport and metabolism	1041	1138	0.9147627416520211
OG0000007	COG1091	dTDP-4-dehydrorhamnose reductase	RfbD	M	Cell wall/membrane/envelope biogenesis	1	1138	8.787346221441124e-4
OG0000007	COG3967	Short-chain dehydrogenase involved in D-alanine esterification of teichoic acids	DltE	M	Cell wall/membrane/envelope biogenesis	1	1138	8.787346221441124e-4
OG0000007	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	YdfG	C	Energy production and conversion	16	1138	0.014059753954305799
OG0000008	COG0457	Tetratricopeptide (TPR) repeat	TPR	R	General function prediction only	1	1109	9.017132551848512e-4
OG0000008	COG0500	SAM-dependent methyltransferase SmtA (CmoB moved to COG2228)	SmtA	Q	Secondary metabolites biosynthesis, transport and catabolism	11	1109	0.009918845807033363
OG0000008	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG or 23S rRNA G745 methylase RmlAII or tRNA-U5 methylase TRM9	UbiE	H	Coenzyme transport and metabolism	108	1109	0.09738503155996393
OG0000008	COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	UbiG	H	Coenzyme transport and metabolism	951	1109	0.8575293056807936
OG0000008	COG2230	Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases	Cfa	I	Lipid transport and metabolism	1	1109	9.017132551848512e-4
OG0000008	COG3914	Predicted O-linked N-acetylglucosamine transferase, SPINDLY family	Spy	O	Posttranslational modification, protein turnover, chaperones	1	1109	9.017132551848512e-4
OG0000008	COG4106	Trans-aconitate methyltransferase	Tam	C	Energy production and conversion	2	1109	0.0018034265103697023
OG0000008	COG4123	tRNA1(Val) A37 N6-methylase TrmN6	TrmN6	J	Translation, ribosomal structure and biogenesis	1	1109	9.017132551848512e-4
OG0000008	COG4976	Predicted methyltransferase, contains TPR repeat	NA	R	General function prediction only	8	1109	0.007213706041478809
OG0000009	COG0604	NADPH:quinone reductase or related Zn-dependent oxidoreductase	Qor	C	Energy production and conversion	555	1053	0.5270655270655271
OG0000009	COG1062	Zn-dependent alcohol/formaldehyde dehydrogenase	FrmA	C	Energy production and conversion	23	1053	0.02184235517568851
OG0000009	COG1063	Threonine dehydrogenase or related Zn-dependent dehydrogenase	Tdh	E	Amino acid transport and metabolism	191	1053	0.18138651471984804
OG0000009	COG1064	D-arabinose 1-dehydrogenase, Zn-dependent alcohol dehydrogenase family	AdhP	G	Carbohydrate transport and metabolism	193	1053	0.18328584995251662
OG0000009	COG2130	NADPH-dependent curcumin reductase CurA	CurA	Q	Secondary metabolites biosynthesis, transport and catabolism	90	1053	0.08547008547008547
OG0000010	COG0438	Lipopolysaccharide 1,6-galactosyltransferase, GT1 family	RfaB	M	Cell wall/membrane/envelope biogenesis	1016	1049	0.9685414680648237
OG0000010	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase, WecB/TagA/CpsF family	WecG	M	Cell wall/membrane/envelope biogenesis	1	1049	9.532888465204957e-4
OG0000011	COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase	SerA	H	Coenzyme transport and metabolism	1001	1043	0.959731543624161
OG0000011	COG1052	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase	LdhA	C	Energy production and conversion	41	1043	0.039309683604985615
OG0000012	COG0119	Isopropylmalate/homocitrate/citramalate synthases	LeuA	E	Amino acid transport and metabolism	1001	1002	0.999001996007984
OG0000013	COG0673	Predicted dehydrogenase	MviM	R	General function prediction only	948	986	0.9614604462474645
OG0000013	COG1063	Threonine dehydrogenase or related Zn-dependent dehydrogenase	Tdh	E	Amino acid transport and metabolism	1	986	0.0010141987829614604
OG0000013	COG1086	NDP-sugar epimerase, includes UDP-N-acetylglucosamine 4,6-dehydratase EpsC	EpsC	M	Cell wall/membrane/envelope biogenesis	2	986	0.002028397565922921
OG0000013	COG1648	Siroheme synthase (precorrin-2 oxidase/ferrochelatase domain)	CysG2	H	Coenzyme transport and metabolism	1	986	0.0010141987829614604
OG0000014	COG0028	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	IlvB	E	Amino acid transport and metabolism	693	982	0.7057026476578412
OG0000014	COG3962	TPP-dependent trihydroxycyclohexane-1,2-dione (THcHDO) dehydratase, myo-inositol metabolism	IolD	G	Carbohydrate transport and metabolism	284	982	0.2892057026476578
OG0000015	COG5470	Uncharacterized conserved protein, DUF1330 family	NA	S	Function unknown	965	965	1
OG0000016	COG1175	ABC-type sugar transport system, permease component	UgpA	G	Carbohydrate transport and metabolism	959	959	1
OG0000017	COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	TauC	P	Inorganic ion transport and metabolism	4	956	0.0041841004184100415
OG0000017	COG1174	ABC-type proline/glycine betaine transport system, permease component	OpuBB	E	Amino acid transport and metabolism	2	956	0.0020920502092050207
OG0000017	COG4176	ABC-type proline/glycine betaine transport system, permease component	ProW	E	Amino acid transport and metabolism	950	956	0.9937238493723849
OG0000018	COG0034	Glutamine phosphoribosylpyrophosphate amidotransferase	PurF	F	Nucleotide transport and metabolism	351	939	0.3738019169329074
OG0000018	COG0367	Asparagine synthetase B (glutamine-hydrolyzing)	AsnB	E	Amino acid transport and metabolism	1	939	0.0010649627263045794
OG0000018	COG0449	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains	GlmS	M	Cell wall/membrane/envelope biogenesis	584	939	0.6219382321618744
OG0000019	COG0472	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase/archaeal AglH	Rfe	M	Cell wall/membrane/envelope biogenesis	860	868	0.9907834101382489
OG0000020	COG0451	Nucleoside-diphosphate-sugar epimerase	WcaG	M	Cell wall/membrane/envelope biogenesis	641	843	0.7603795966785291
OG0000020	COG1088	dTDP-D-glucose 4,6-dehydratase	RfbB	M	Cell wall/membrane/envelope biogenesis	196	843	0.232502965599051
OG0000020	COG1091	dTDP-4-dehydrorhamnose reductase	RfbD	M	Cell wall/membrane/envelope biogenesis	4	843	0.004744958481613286
OG0000021	COG0410	ABC-type branched-chain amino acid transport system, ATPase component LivF	LivF	E	Amino acid transport and metabolism	1	833	0.0012004801920768306
OG0000021	COG0559	Branched-chain amino acid ABC-type transport system, permease component	LivH	E	Amino acid transport and metabolism	411	833	0.49339735894357745
OG0000021	COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport system, permease component	AraH	G	Carbohydrate transport and metabolism	421	833	0.5054021608643458
OG0000022	COG0404	Glycine cleavage system protein T (aminomethyltransferase)	GcvT	E	Amino acid transport and metabolism	825	833	0.9903961584633854
OG0000022	COG0492	Thioredoxin reductase	TrxB	O	Posttranslational modification, protein turnover, chaperones	4	833	0.004801920768307323
OG0000022	COG1148	Heterodisulfide reductase, subunit A (polyferredoxin)	HdrA	C	Energy production and conversion	2	833	0.0024009603841536613
OG0000023	COG0451	Nucleoside-diphosphate-sugar epimerase	WcaG	M	Cell wall/membrane/envelope biogenesis	125	831	0.15042117930204574
OG0000023	COG1086	NDP-sugar epimerase, includes UDP-N-acetylglucosamine 4,6-dehydratase EpsC	EpsC	M	Cell wall/membrane/envelope biogenesis	1	831	0.0012033694344163659
OG0000023	COG1087	UDP-glucose 4-epimerase	GalE	M	Cell wall/membrane/envelope biogenesis	183	831	0.22021660649819494
OG0000023	COG1088	dTDP-D-glucose 4,6-dehydratase	RfbB	M	Cell wall/membrane/envelope biogenesis	5	831	0.006016847172081829
OG0000023	COG1089	GDP-D-mannose dehydratase	Gmd	M	Cell wall/membrane/envelope biogenesis	498	831	0.5992779783393501
OG0000024	COG4311	Sarcosine oxidase delta subunit	SoxD	E	Amino acid transport and metabolism	815	815	1
OG0000025	COG0111	Phosphoglycerate dehydrogenase or related dehydrogenase	SerA	H	Coenzyme transport and metabolism	166	804	0.2064676616915423
OG0000025	COG1052	Lactate dehydrogenase or related 2-hydroxyacid dehydrogenase	LdhA	C	Energy production and conversion	634	804	0.7885572139303483
OG0000026	COG2055	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family	AllD	C	Energy production and conversion	801	803	0.9975093399750934
OG0000027	COG0004	Ammonia channel protein AmtB	AmtB	P	Inorganic ion transport and metabolism	798	800	0.9975
OG0000027	COG2208	Phosphoserine phosphatase RsbU, regulator of sigma subunit	RsbU	T	Signal transduction mechanisms	2	800	0.0025
OG0000028	COG0275	16S rRNA C1402 N4-methylase RsmH	RmsH	J	Translation, ribosomal structure and biogenesis	1	786	0.001272264631043257
OG0000028	COG0293	23S rRNA U2552 or 16S rRNA-U1369 or eukaryotic tRNA-C32/G34 (ribose-2'-O)-methylase RlmE/FtsJ/TRM7	RlmE	J	Translation, ribosomal structure and biogenesis	1	786	0.001272264631043257
OG0000028	COG0500	SAM-dependent methyltransferase SmtA (CmoB moved to COG2228)	SmtA	Q	Secondary metabolites biosynthesis, transport and catabolism	8	786	0.010178117048346057
OG0000028	COG0526	Thiol-disulfide isomerase or thioredoxin	TrxA	O	Posttranslational modification, protein turnover, chaperones	3	786	0.003816793893129771
OG0000028	COG1221	Transcriptional regulators containing sigma54-interacting ATPase domain	PspF	K	Transcription	1	786	0.001272264631043257
OG0000028	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG or 23S rRNA G745 methylase RmlAII or tRNA-U5 methylase TRM9	UbiE	H	Coenzyme transport and metabolism	10	786	0.01272264631043257
OG0000028	COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	UbiG	H	Coenzyme transport and metabolism	13	786	0.01653944020356234
OG0000028	COG2890	Methylase of polypeptide chain release factors	HemK	J	Translation, ribosomal structure and biogenesis	1	786	0.001272264631043257
OG0000028	COG2956	Lipopolysaccharide biosynthesis regulator YciM/LapB, contains six TPR domains and a C-terminal metal-binding domain	LapB	M	Cell wall/membrane/envelope biogenesis	1	786	0.001272264631043257
OG0000028	COG3510	Rhamnose/hydroxycephalosporin O-methyltransferase, CmcI/Rv2959c family	CmcI	M	Cell wall/membrane/envelope biogenesis	1	786	0.001272264631043257
OG0000028	COG4106	Trans-aconitate methyltransferase	Tam	C	Energy production and conversion	1	786	0.001272264631043257
OG0000028	COG4122	tRNA 5-hydroxyU34 O-methylase TrmR/YrrM	TrmR	J	Translation, ribosomal structure and biogenesis	363	786	0.4618320610687023
OG0000028	COG4974	Site-specific tyrosine recombinase XerD	XerD	L	Replication, recombination and repair	1	786	0.001272264631043257
OG0000029	COG0174	Glutamine synthetase	GlnA	E	Amino acid transport and metabolism	782	784	0.9974489795918368
OG0000030	COG0451	Nucleoside-diphosphate-sugar epimerase	WcaG	M	Cell wall/membrane/envelope biogenesis	14	781	0.01792573623559539
OG0000030	COG0702	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains	YbjT	R	General function prediction only	743	781	0.9513444302176697
OG0000030	COG1091	dTDP-4-dehydrorhamnose reductase	RfbD	M	Cell wall/membrane/envelope biogenesis	4	781	0.005121638924455826
OG0000031	COG0677	UDP-N-acetyl-D-mannosaminuronate dehydrogenase	WecC	M	Cell wall/membrane/envelope biogenesis	210	775	0.2709677419354839
OG0000031	COG1004	UDP-glucose 6-dehydrogenase	Ugd	M	Cell wall/membrane/envelope biogenesis	564	775	0.727741935483871
OG0000031	COG2084	3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	MmsB	I	Lipid transport and metabolism	1	775	0.0012903225806451613
OG0000032	COG0500	SAM-dependent methyltransferase SmtA (CmoB moved to COG2228)	SmtA	Q	Secondary metabolites biosynthesis, transport and catabolism	8	773	0.01034928848641656
OG0000032	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG or 23S rRNA G745 methylase RmlAII or tRNA-U5 methylase TRM9	UbiE	H	Coenzyme transport and metabolism	738	773	0.9547218628719275
OG0000032	COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	UbiG	H	Coenzyme transport and metabolism	23	773	0.029754204398447608
OG0000032	COG4627	Predicted SAM-depedendent methyltransferase	NA	R	General function prediction only	1	773	0.00129366106080207
OG0000033	COG3090	TRAP-type C4-dicarboxylate transport system, small permease component YiaM	DctM	G	Carbohydrate transport and metabolism	7	743	0.009421265141318977
OG0000033	COG4665	TRAP-type mannitol/chloroaromatic compound transport system, small permease component	FcbT2	Q	Secondary metabolites biosynthesis, transport and catabolism	735	743	0.9892328398384926
OG0000034	COG0436	Aspartate/methionine/tyrosine aminotransferase	AspB	E	Amino acid transport and metabolism	736	738	0.997289972899729
OG0000035	COG0223	Methionyl-tRNA formyltransferase	Fmt	J	Translation, ribosomal structure and biogenesis	216	738	0.2926829268292683
OG0000035	COG0299	Folate-dependent phosphoribosylglycinamide formyltransferase PurN	PurN	F	Nucleotide transport and metabolism	512	738	0.6937669376693767
OG0000035	COG1208	NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis protein s	GCD1	J	Translation, ribosomal structure and biogenesis	1	738	0.0013550135501355014
OG0000036	COG0524	Sugar or nucleoside kinase, ribokinase family	RbsK	G	Carbohydrate transport and metabolism	733	734	0.9986376021798365
OG0000037	COG0451	Nucleoside-diphosphate-sugar epimerase	WcaG	M	Cell wall/membrane/envelope biogenesis	425	729	0.5829903978052127
OG0000037	COG0662	Mannose-6-phosphate isomerase, cupin superfamily	ManC	G	Carbohydrate transport and metabolism	1	729	0.0013717421124828531
OG0000037	COG1087	UDP-glucose 4-epimerase	GalE	M	Cell wall/membrane/envelope biogenesis	6	729	0.00823045267489712
OG0000037	COG1088	dTDP-D-glucose 4,6-dehydratase	RfbB	M	Cell wall/membrane/envelope biogenesis	1	729	0.0013717421124828531
OG0000037	COG1091	dTDP-4-dehydrorhamnose reductase	RfbD	M	Cell wall/membrane/envelope biogenesis	256	729	0.3511659807956104
OG0000037	COG2910	Putative NADH-flavin reductase	YwnB	R	General function prediction only	1	729	0.0013717421124828531
OG0000038	COG0516	IMP dehydrogenase/GMP reductase	GuaB	F	Nucleotide transport and metabolism	689	723	0.9529737206085753
OG0000038	COG2070	NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family	YrpB	R	General function prediction only	32	723	0.04426002766251729
OG0000039	COG0667	Pyridoxal reductase PdxI or related oxidoreductase, aldo/keto reductase family	PdxI	H	Coenzyme transport and metabolism	721	721	1
OG0000040	COG0473	Isocitrate/isopropylmalate dehydrogenase	LeuB	C	Energy production and conversion	721	721	1
OG0000041	COG0022	Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit	AcoB	C	Energy production and conversion	48	710	0.0676056338028169
OG0000041	COG1154	Deoxyxylulose-5-phosphate synthase	Dxs	H	Coenzyme transport and metabolism	489	710	0.6887323943661972
OG0000041	COG3958	Transketolase, C-terminal subunit	TktA2	G	Carbohydrate transport and metabolism	136	710	0.19154929577464788
OG0000041	COG4972	Type II secretion system/type IV pilus alignment protein GspL/PulL/PilM	GspL/PilM	N	Cell motility	1	710	0.0014084507042253522
OG0000042	COG2076	Multidrug transporter EmrE and related cation transporters	EmrE	V	Defense mechanisms	705	706	0.9985835694050992
OG0000043	COG0463	Glycosyltransferase involved in cell wall bisynthesis	WcaA	M	Cell wall/membrane/envelope biogenesis	690	695	0.9928057553956835
OG0000044	COG1995	4-hydroxy-L-threonine phosphate dehydrogenase PdxA	PdxA	H	Coenzyme transport and metabolism	690	695	0.9928057553956835
OG0000045	COG0532	Translation initiation factor IF-2, a GTPase	InfB	J	Translation, ribosomal structure and biogenesis	1	687	0.001455604075691412
OG0000045	COG1423	ATP-dependent RNA circularization protein, DNA/RNA ligase (PAB1020)  family	NA	L	Replication, recombination and repair	1	687	0.001455604075691412
OG0000045	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG or 23S rRNA G745 methylase RmlAII or tRNA-U5 methylase TRM9	UbiE	H	Coenzyme transport and metabolism	3	687	0.004366812227074236
OG0000045	COG2227	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	UbiG	H	Coenzyme transport and metabolism	9	687	0.013100436681222707
OG0000045	COG2242	Precorrin-6Y C5,15-methylase subunit CbiT	CbiT	H	Coenzyme transport and metabolism	5	687	0.00727802037845706
OG0000045	COG2265	tRNA/tmRNA/rRNA uracil-C5-methylase, TrmA/RlmC/RlmD family	TrmA	J	Translation, ribosomal structure and biogenesis	4	687	0.005822416302765648
OG0000045	COG2519	tRNA A57/A58 N1-methylase Trm61	Gcd14	J	Translation, ribosomal structure and biogenesis	4	687	0.005822416302765648
OG0000045	COG2520	tRNA G37 N1-methylase Trm5	Trm5	J	Translation, ribosomal structure and biogenesis	15	687	0.021834061135371178
OG0000045	COG2813	16S rRNA G1207 or 23S rRNA G1835 methylase RsmC/RlmG	RsmC	J	Translation, ribosomal structure and biogenesis	6	687	0.008733624454148471
OG0000045	COG3434	c-di-GMP phosphodiesterase YuxH/PdeH, contains EAL and HDOD domains	YuxH	T	Signal transduction mechanisms	2	687	0.002911208151382824
OG0000045	COG4076	Predicted RNA methylase	NA	R	General function prediction only	12	687	0.017467248908296942
OG0000045	COG4106	Trans-aconitate methyltransferase	Tam	C	Energy production and conversion	12	687	0.017467248908296942
OG0000045	COG4123	tRNA1(Val) A37 N6-methylase TrmN6	TrmN6	J	Translation, ribosomal structure and biogenesis	26	687	0.03784570596797671
OG0000046	COG0300	Short-chain dehydrogenase	YqjQ	R	General function prediction only	1	686	0.0014577259475218659
OG0000046	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	FabG	I	Lipid transport and metabolism	682	686	0.9941690962099126
OG0000046	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG	YdfG	C	Energy production and conversion	1	686	0.0014577259475218659
OG0000047	COG1012	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	AdhE	I	Lipid transport and metabolism	681	681	1
OG0000048	COG0031	Cysteine synthase	CysK	E	Amino acid transport and metabolism	4	681	0.005873715124816446
OG0000048	COG0457	Tetratricopeptide (TPR) repeat	TPR	R	General function prediction only	13	681	0.01908957415565345
OG0000048	COG1917	Cupin domain protein related to quercetin dioxygenase	QdoI	R	General function prediction only	2	681	0.002936857562408223
OG0000048	COG3181	Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC	TctC	C	Energy production and conversion	7	681	0.010279001468428781
OG0000048	COG5285	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family	PhyH	Q	Secondary metabolites biosynthesis, transport and catabolism	91	681	0.13362701908957417
OG0000049	COG0243	Anaerobic selenocysteine-containing dehydrogenase	BisC	C	Energy production and conversion	3	680	0.004411764705882353
OG0000049	COG1034	NADH dehydrogenase/NADH:ubiquinone oxidoreductase 75 kD subunit (chain G)	NuoG	C	Energy production and conversion	484	680	0.711764705882353
OG0000049	COG3383	Mo-containing formate dehydrogenase ForCE, catalytic subunit	ForC	C	Energy production and conversion	188	680	0.27647058823529413
OG0000050	COG1894	NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F)	NuoF	C	Energy production and conversion	679	680	0.9985294117647059
OG0000050	COG1905	NADH:ubiquinone oxidoreductase 24 kD subunit (chain E)	NuoE	C	Energy production and conversion	1	680	0.0014705882352941176
OG0000051	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase MenH/undecaprenyl monophosphate-sugar esterase UshA/YqjL	MenH	H	Coenzyme transport and metabolism	677	678	0.9985250737463127
OG0000052	COG1593	TRAP-type C4-dicarboxylate transport system, large permease component	DctQ	G	Carbohydrate transport and metabolism	672	675	0.9955555555555555
OG0000052	COG4664	TRAP-type mannitol/chloroaromatic compound transport system, large permease component	FcbT3	Q	Secondary metabolites biosynthesis, transport and catabolism	1	675	0.0014814814814814814
OG0000053	COG0607	Rhodanese-related sulfurtransferase	PspE	P	Inorganic ion transport and metabolism	675	675	1
OG0000054	COG2303	Choline dehydrogenase or related flavoprotein	BetA	I	Lipid transport and metabolism	674	675	0.9985185185185185
OG0000055	COG0001	Glutamate-1-semialdehyde aminotransferase	HemL	H	Coenzyme transport and metabolism	106	672	0.15773809523809523
OG0000055	COG0160	Acetylornithine aminotransferase/4-aminobutyrate aminotransferase/amino acid racemase	ArgD	E	Amino acid transport and metabolism	16	672	0.023809523809523808
OG0000055	COG1861	Spore coat polysaccharide biosynthesis protein SpsF, cytidylyltransferase family	SpsF	M	Cell wall/membrane/envelope biogenesis	30	672	0.044642857142857144
OG0000055	COG4992	Acetylornithine/succinyldiaminopimelate/putrescine aminotransferase	ArgD	E	Amino acid transport and metabolism	519	672	0.7723214285714286
OG0000056	COG0488	ABC cassette proteins with duplicated ATPase domains, Uup/ABCF family	Uup	J	Translation, ribosomal structure and biogenesis	1	672	0.001488095238095238
OG0000056	COG1082	Sugar phosphate isomerase/epimerase	YcjR	G	Carbohydrate transport and metabolism	1	672	0.001488095238095238
OG0000056	COG1861	Spore coat polysaccharide biosynthesis protein SpsF, cytidylyltransferase family	SpsF	M	Cell wall/membrane/envelope biogenesis	3	672	0.004464285714285714
OG0000056	COG2089	Sialic acid synthase SpsE, contains C-terminal SAF domain	SpsE	M	Cell wall/membrane/envelope biogenesis	658	672	0.9791666666666666
OG0000057	COG5285	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family	PhyH	Q	Secondary metabolites biosynthesis, transport and catabolism	661	667	0.9910044977511244
OG0000058	COG0106	Phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide (ProFAR) isomerase	HisA	E	Amino acid transport and metabolism	514	664	0.7740963855421686
OG0000058	COG0107	Imidazole glycerol phosphate synthase subunit HisF	HisF	E	Amino acid transport and metabolism	150	664	0.22590361445783133
OG0000059	COG0673	Predicted dehydrogenase	MviM	R	General function prediction only	656	663	0.9894419306184012
OG0000060	COG0118	Imidazoleglycerol phosphate synthase glutamine amidotransferase subunit HisH	HisH	E	Amino acid transport and metabolism	662	663	0.9984917043740573
OG0000060	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (putrescine degradation), contains GATase1-like domain	PuuD	E	Amino acid transport and metabolism	1	663	0.0015082956259426848
OG0000061	COG0447	1,4-Dihydroxy-2-naphthoyl-CoA synthase	MenB	H	Coenzyme transport and metabolism	20	650	0.03076923076923077
OG0000061	COG1024	Enoyl-CoA hydratase/carnithine racemase	CaiD	I	Lipid transport and metabolism	630	650	0.9692307692307692
OG0000062	COG1083	CMP-N-acetylneuraminic acid synthetase, NeuA/PseF family	NeuA	M	Cell wall/membrane/envelope biogenesis	3	647	0.00463678516228748
OG0000062	COG1212	CMP-2-keto-3-deoxyoctulosonic acid synthetase	KdsB	M	Cell wall/membrane/envelope biogenesis	622	647	0.9613601236476044
OG0000062	COG1861	Spore coat polysaccharide biosynthesis protein SpsF, cytidylyltransferase family	SpsF	M	Cell wall/membrane/envelope biogenesis	21	647	0.03245749613601236
OG0000063	COG0129	Dihydroxyacid dehydratase/phosphogluconate dehydratase	IlvD	E	Amino acid transport and metabolism	647	647	1
OG0000064	COG0154	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	GatA	J	Translation, ribosomal structure and biogenesis	639	642	0.9953271028037384
OG0000065	COG0410	ABC-type branched-chain amino acid transport system, ATPase component LivF	LivF	E	Amino acid transport and metabolism	612	642	0.9532710280373832
OG0000065	COG1137	ABC-type lipopolysaccharide export system, ATPase component	LptB	M	Cell wall/membrane/envelope biogenesis	30	642	0.04672897196261682
